X,Y,Z,flow,vital
80.5,-5.6,19.83,195,1
80.5,5.6,19.83,195,1
100,0,18.75,375,1
55.5,3.85,23,120,1
55.5,-3.85,23,120,1
99.5,0,23,120,1
55,-5,18.75,375,1
55,5,18.75,375,1
105.03,0,10.97,120,1
24.84,0,8.85,120,1
36.91,-0.68,1.81,10,1
58.5,-1,1.8,10,1
106.9,6,3.4,10,1
55.75,-1,1.8,10,1
104.09,-7,3.8,100,1
58.5,1,1.8,10,1
55.75,1,1.8,10,1
104.16,6,3.4,10,1
31.61,-0.66,1.81,10,1
136.5,-1.13,4.9,10,1
134.99,-1.09,4.9,10,1
89.55,8.65,9.25,100,1
46.37,8.5,9.25,100,1
67.31,-8.68,5.87,100,1
97,8,8.5,8,1
9.85,-1.99,11.17,6,1
47.76,1.85,11.4,8,1
124.02,0,5.41,6,1
47.09,0,10.73,310,1
25.78,0,1.81,274,1
128.6,0,5.22,288,1
95.93,0,4.78,314,1
80.29,3.75,3.49,1500,1
104.8,-3.75,3.52,1500,1
70.9,-6,2.85,348,1
48.2,-6,8.3,83.2,1
63.97,-6.75,5.24,212.8,1
72,-5.82,22,30.2,1
87.3,5.38,2.85,44.8,1
61.53,0,14,66.2,1
91.7,5.38,2.85,44.8,1
134.46,3.41,6.02,183.4,1
132.42,1.13,6.01,68.6,1
95.33,0,11.52,33.2,1
89.53,7.13,8.22,183.4,1
64,6,2.85,348,1
31.94,2.2,8.22,55.4,1
31.9,2.2,2.88,13.2,1
72,5.82,18.5,40.2,1
72,-5.82,18.5,40.2,1
33.85,4.44,8.22,212.8,1
70.9,6,2.85,348,1
71.47,-6.43,5.24,62.6,1
42.4,3.8,8.3,83.2,1
42.4,-3.8,8.3,83.2,1
87.57,4.92,8.22,50.2,1
57.55,0,14.85,40.2,1
89.88,-6.5,2.85,348,1
132,3.54,8.5,44.8,1
64,-6,2.85,348,1
48.2,6,8.3,83.2,1
79.9,-1.06,2.74,750.2,1
112.64,0,11.69,6.2,1
95.33,0,14.85,20.2,1
105.02,0.58,2.11,750.2,1
72,5.82,22,30.2,1
14.19,0,3.85,6.2,1
96.31,-6.5,2.85,348,1
136.3,3.54,8.5,44.8,1
35.77,2.31,8.22,156.4,1
67.7,-6.43,5.17,149,1
136.55,1.18,6.14,113.4,1
91.41,4.97,8.22,132.2,1
133.8,6.51,8.15,74,1
67.7,-2.5,3.19,580,1
89.02,3,3.19,74,1
93.13,-3,3.19,580,1
34.93,2.75,3.8,11,1
67.7,2.5,3.19,580,1
41.05,-1.5,7.62,85,1
41.05,1.5,7.62,85,1
46.6,-1.5,7.62,85,1
46.6,1.5,7.62,85,1
50.5,-3.26,7.88,85,1
