name,id,Location X (m),Location Y (m),Location Z (m),Rated Electrical Power (MW),Efficiency (%),Heat load (kW)
z2_Mission_Load_3,54a2e46b-70dd-4c2f-824b-7cce2667954a,80.5,-5.6,19.83,0.3,35,195
z2_Mission_Load_4,fb314e72-18c8-4963-958e-f9d09992bdb9,80.5,5.6,19.83,0.3,35,195
z3_Sband_radar_Aft,820aab1a-2be7-4b45-8662-b6e07e634581,100,0,18.75,0.75,50,375
z2_Xband_radar_S,063ea56e-275f-45e0-8d2c-b1d6c043a3a2,55.5,3.85,23,0.24,50,120
z2_Xband_radar_P,47855697-d018-4ca4-b2b6-d98b66c06c18,55.5,-3.85,23,0.24,50,120
z3_Xband_radar_Aft,ec73300a-44ae-4415-8e03-51d836fbf052,99.5,0,23,0.24,50,120
z2_Sband_radar_P,56f1791f-c665-4bab-8417-37c6eb8b9542,55,-5,18.75,0.75,50,375
z2_Sband_radar_S,8c6b84b3-bbcd-47c4-b4ae-1040cbbf20b7,55,5,18.75,0.75,50,375
z3_VLS,e1109df2-cd2b-40fb-8ba0-779ed153f3b2,105.03,0,10.97,0.48,75,120
z1_VLS,9c1e63ea-98ed-41b8-b36c-991ca57d5c78,24.84,0,8.85,0.48,75,120
z1_CHILLER_P_SW_PUMP,8e0a0fd1-38b5-4a8d-a351-469ffca8d004,36.91,-0.68,1.81,0.05,80,10
z2_CHILLER_P_SW_PUMP,08068776-fb24-486f-9ddf-716a51ed7f05,58.5,-1,1.8,0.05,80,10
z3_CHILLER_S_CHW_PUMP,f4167ff9-1d20-4096-b29a-e09f70ec754c,106.9,6,3.4,0.05,80,10
z2_CHILLER_P_CHW_PUMP,398f5370-7762-469d-b193-4da18d5ae956,55.75,-1,1.8,0.05,80,10
Z3_CryoChiller_Pump_P,e5872afb-5b2b-49d9-abd6-cdd5bf7ce7bc,104.09,-7,3.8,0.5,80,100
z2_CHILLER_S_SW_PUMP,afe43841-45c8-4b10-9dd2-7c1d96c1b730,58.5,1,1.8,0.05,80,10
z2_CHILLER_S_CHW_PUMP,8667e63b-02e1-49e1-a15b-6bb9ce3122e1,55.75,1,1.8,0.05,80,10
z3_CHILLER_S_SW_PUMP,6f237b00-aa18-45da-87bf-e175b6db27a1,104.16,6,3.4,0.05,80,10
z1_CHILLER_P_CHW_PUMP,27fb6a8d-07f8-4359-87e3-dbac1d02606f,31.61,-0.66,1.81,0.05,80,10
z4_CHILLER_SW_PUMP,16c4a1a7-0c02-4aeb-8f99-04996d90d04c,136.5,-1.13,4.9,0.05,80,10
z4_CHILLER_CHW_PUMP,73d1f0e0-5e93-44ab-8c5c-99f67973d6f8,134.99,-1.09,4.9,0.05,80,10
z3_CryoChiller_Pump_S,f175c5a3-df3b-4a57-87d5-897caa30935d,89.55,8.65,9.25,0.5,80,100
z2_CryoChiller_Pump_S,2225225c-1b7f-4429-a0b8-442e2af9e748,46.37,8.5,9.25,0.5,80,100
z2_CryoChiller_Pump_P,9fdacb08-c2d3-48ac-96d6-243259097956,67.31,-8.68,5.87,0.5,80,100
z3_AC_nonvital,91ec29bd-f7c6-4488-a1fe-4bacc1df86fc,97,8,8.5,0.04,80,8
z1_AC_nonvital,35156625-6b13-447e-b663-6c2e19c0bb44,9.85,-1.99,11.17,0.03,80,6
z2_AC_nonvital,4c26c2c9-c30d-406c-a060-d902a8b2fc92,47.76,1.85,11.4,0.04,80,8
z4_AC_nonvital,5ffc5497-fe30-483f-92e8-aa6833e0df5c,124.02,0,5.41,0.03,80,6
z2_Vital_DC,7c875bf5-19de-428d-a993-5fd690a319e4,47.09,0,10.73,1.55,80,310
z1_Vital_DC,ad92163a-579d-4041-b084-04d2693898aa,25.78,0,1.81,1.37,80,274
z4_Vital_DC,fca74095-1d34-45e0-b5f7-b7220aa00ab6,128.6,0,5.22,1.44,80,288
z3_Vital_DC,a1123834-b6e4-4583-bd26-0389d325d139,95.93,0,4.78,1.57,80,314
z2_PMM_S,58c1638d-d753-49ba-b899-988021560600,80.29,3.75,3.49,37.5,96,1500
z3_PMM_P,ebedc471-3dca-4afd-b5a6-fba8bae82fc4,104.8,-3.75,3.52,37.5,96,1500
z2_LM2500P_RECT_S,105e264c-65b3-4117-99d3-bc8e224923b6,70.9,-6,2.85,17.4,98,348
