,,Cooling Load for Various Conditions,,,,Location,,,,"Pipe Diameter (OD or ID, not sure)",,,,,,,Constants,
Load Number,Priority,Shore,Design,Cruise,Battle,X,Y,Z,Max Load,in,,,,,,C,K,kW to ton
,1 = Highest,kW,kW,kW,kW,m,m,m,kW,in,,,,,,ft/sec-in^.5,gpm/ton,kW/ton
1,1,28.68,23.740,20.785,23.740,57.194,0.000,25.197,28.68,2.673025684,,,,,,4.000,4.5,0.284345
2,1,10.68,60.668,60.668,60.668,56.860,0.000,22.835,60.66825,3.607082372,,,,,,,,
3,1,10.68,5.909,5.909,5.909,63.555,0.000,3.289,10.68,1.800528392,,,,,,,,
4,1,10.68,33.448,32.709,33.448,56.190,6.700,19.685,33.4477251,2.842615416,,,,,,,,
5,1,0.72,40.621,37.562,40.621,56.190,0.000,19.685,40.62135,3.072367864,,,,,,,,
6,1,135,15.932,14.982,15.932,60.877,-5.520,19.685,135,4.967123753,,,,,,,,
7,1,60,19.519,18.781,19.519,66.233,6.700,19.685,60,3.591136996,,,,,,,,
8,1,29.1,11.395,10.445,11.395,60.877,5.520,19.685,29.1,2.688615317,,,,,,,,
9,1,29.1,137.163,125.451,137.163,60.877,0.000,19.685,137.163,4.998805777,,,,,,,,
10,1,2.7,30.914,30.281,30.914,56.190,-6.700,19.685,30.91443,2.754456831,,,,,,,,
11,1,5.22,19.941,19.203,19.941,66.233,-6.700,19.685,19.94139,2.311392202,,,,,,,,
12,1,0,16.249,14.771,16.249,84.394,0.000,22.835,16.24854,2.129595942,,,,,,,,
13,1,0,10.868,9.390,10.868,87.742,0.000,19.685,10.86753,1.813108576,,,,,,,,
14,1,0,24.056,21.208,24.056,85.064,-3.850,14.046,24.05628,2.491511298,,,,,,,,
15,1,0,10.869,10.869,10.869,50.834,0.000,16.586,10.8685851,1.813178986,,,,,,,,
16,2,0,20.152,20.152,20.152,56.860,0.000,14.046,20.15241,2.321144988,,,,,,,,
17,2,0,4.642,4.642,4.642,55.521,-8.540,8.509,4.64244,1.290238488,,,,,,,,
18,2,0,3.376,3.376,3.376,66.233,-8.540,8.509,3.37632,1.135923053,,,,,,,,
19,2,0,15.932,15.932,15.932,56.860,0.000,14.046,15.93201,2.112903688,,,,,,,,
20,2,0,4.115,4.115,4.115,67.906,-5.860,8.509,4.11489,1.229461023,,,,,,,,
21,2,0,9.074,9.074,9.074,54.182,0.000,14.046,9.07386,1.686895978,,,,,,,,
22,2,0,3.798,3.798,3.798,50.165,-11.720,14.046,3.79836,1.190720752,,,,,,,,
23,2,0,2.743,2.743,2.743,66.233,-3.350,14.046,2.74326,1.045389807,,,,,,,,
24,2,0,122.074,122.074,122.074,55.521,0.000,8.509,122.0740149,4.771124663,,,,,,,,
25,2,0,3.165,3.165,3.165,55.521,0.000,8.509,3.1653,1.106974009,,,,,,,,
26,2,0,183.271,183.271,183.271,55.521,-5.020,5.804,183.27087,5.613178454,,,,,,,,
27,3,0,170.188,170.188,170.188,65.898,-3.350,5.804,170.18763,5.449324484,,,,,,,,
28,3,0,27.538,27.538,27.538,106.488,1.670,14.046,27.53811,2.629935668,,,,,,,,
29,3,0,9.339,9.339,9.339,93.767,0.000,14.046,9.3386901,1.706419709,,,,,,,,
30,3,0,21.946,21.946,21.946,21.370,0.000,8.509,21.94608,2.401675104,,,,,,,,
31,3,0,22.896,22.896,22.896,21.370,0.000,5.804,22.89567,2.442715092,,,,,,,,
32,3,0,5.276,5.276,5.276,20.706,0.000,2.946,5.2755,1.357928564,,,,,,,,
33,3,0,99.707,99.707,99.707,28.740,0.000,8.509,99.70695,4.40009087,,,,,,,,
34,3,0,14.138,14.138,14.138,27.401,1.340,11.328,14.13834,2.014331023,,,,,,,,
35,3,0,3.342,3.342,3.342,32.757,4.690,8.509,3.3415017,1.131222794,,,,,,,,
36,3,0,2.638,2.638,2.638,31.418,-3.350,8.509,2.63775,1.02911741,,,,,,,,
37,3,0,2.321,2.321,2.321,30.079,-3.350,11.328,2.32122,0.977817925,,,,,,,,
38,3,0,14.560,14.560,14.560,27.401,-3.350,8.509,14.56038,2.038170712,,,,,,,,
39,3,0,1.899,1.899,1.899,27.401,1.170,8.509,1.89918,0.902397585,,,,,,,,
40,4,0,0.422,0.422,0.422,31.418,4.350,8.509,0.42204,0.494439227,,,,,,,,
41,4,0,3.904,3.904,3.904,39.118,-5.520,5.804,3.90387,1.203842335,,,,,,,,
42,4,0,67.104,67.104,67.104,39.452,0.000,5.804,67.10436,3.755534608,,,,,,,,
43,4,0,3.904,3.904,3.904,39.787,2.510,5.804,3.90387,1.203842335,,,,,,,,
44,4,0,1.688,1.688,1.688,50.165,-6.860,8.509,1.68816,0.860868695,,,,,,,,
45,4,0,29.121,29.121,29.121,66.233,4.850,8.509,29.12076,2.689382379,,,,,,,,
