start X,start Y,start Z,end X,end Y,end Z,diameter
group
33.85,8,2,33.85,8,8.22,0.0569168
33.85,8,8.22,33.85,4.44,8.22,0.0569168
33.85,-8,8,33.85,-8,8.22,0.0569168
33.85,-8,8.22,33.85,4.44,8.22,0.0569168
group
31.94,-1.99,8.3,31.94,-1.99,11.17,0.00955718
31.94,-1.99,11.17,9.85,-1.99,11.17,0.00955718
31.94,2.2,8.3,31.94,2.2,2.88,0.0141756
31.94,2.2,2.88,31.9,2.2,2.88,0.0141756
31.94,-1.99,8.3,31.94,2.2,8.3,0.0605707
31.94,2.2,8.3,31.94,2.2,8.22,0.0290408
31.94,3.8,8.3,42.4,3.8,8.3,0.035589
31.94,2.2,8.3,31.94,3.8,8.3,0.0605707
42.4,-3.8,8.3,31.94,-3.8,8.3,0.0605707
31.94,-3.8,8.3,31.94,-1.99,8.3,0.0605707
31.94,10,2,31.94,10,8.3,0.0605707
31.94,10,8.3,31.94,3.8,8.3,0.0605707
42.4,-8,8,42.4,-8,8.3,0.0605707
42.4,-8,8.3,42.4,-3.8,8.3,0.0605707
group
25.78,0,1.81,25.78,0,3.85,0.00971516
25.78,0,3.85,14.19,0,3.85,0.00971516
25.78,0,1.81,25.78,0,8.85,0.042741
25.78,0,8.85,24.84,0,8.85,0.042741
25.78,8,2,25.78,8,1.81,0.0780536
25.78,8,1.81,25.78,0,1.81,0.0780536
25.78,-8,8,25.78,-8,1.81,0.0780536
25.78,-8,1.81,25.78,0,1.81,0.0780536
group
41.05,-0.68,7.62,41.05,-0.68,1.81,0.0123383
41.05,-0.68,1.81,36.91,-0.68,1.81,0.0123383
41.05,-1.5,7.62,41.05,-0.68,7.62,0.0399806
41.05,-0.68,7.62,41.05,-0.68,1.81,0.0399806
41.05,-0.68,1.81,31.61,-0.68,1.81,0.0399806
31.61,-0.68,1.81,31.61,-0.66,1.81,0.0399806
31.61,10,2,31.61,10,1.81,0.0399806
31.61,10,1.81,31.61,-0.66,1.81,0.0399806
41.05,-8,8,41.05,-8,7.62,0.0399806
41.05,-8,7.62,41.05,-1.5,7.62,0.0399806
group
35.77,1.5,7.62,41.05,1.5,7.62,0.0359719
35.77,2.31,7.62,35.77,2.31,8.22,0.0487947
35.77,1.5,7.62,35.77,2.31,7.62,0.0619868
35.77,2.75,7.62,35.77,2.75,3.8,0.0129405
35.77,2.75,3.8,34.93,2.75,3.8,0.0129405
35.77,2.31,7.62,35.77,2.75,7.62,0.0619868
35.77,8,2,35.77,8,7.62,0.0619868
35.77,8,7.62,35.77,2.75,7.62,0.0619868
35.77,-8,8,35.77,-8,7.62,0.0619868
35.77,-8,7.62,35.77,1.5,7.62,0.0619868
group
55.5,-3.85,7.88,55.5,-3.85,23,0.042741
55.5,-3.26,7.88,50.5,-3.26,7.88,0.0359719
55.5,-3.85,7.88,55.5,-3.26,7.88,0.0635391
55.5,0,7.88,55.5,0,14.85,0.0247382
55.5,0,14.85,57.55,0,14.85,0.0247382
55.5,-3.26,7.88,55.5,0,7.88,0.0635391
55.5,1,7.88,55.5,1,1.8,0.0123383
55.5,1,1.8,55.75,1,1.8,0.0123383
55.5,0,7.88,55.5,1,7.88,0.0635391
55.5,1,7.88,55.5,1,1.8,0.0123383
55.5,1,1.8,58.5,1,1.8,0.0123383
55.5,10,2,55.5,10,7.88,0.0635391
55.5,10,7.88,55.5,1,7.88,0.0635391
55.5,-10,8,55.5,-10,7.88,0.0635391
55.5,-10,7.88,55.5,-3.85,7.88,0.0635391
group
70.9,10,2,70.9,10,2.85,0.0727853
70.9,10,2.85,70.9,-6,2.85,0.0727853
70.9,-10,8,70.9,-10,2.85,0.0727853
70.9,-10,2.85,70.9,-6,2.85,0.0727853
group
47.09,0,10.73,47.09,0,14,0.0317456
47.09,0,14,61.53,0,14,0.0317456
47.09,1.85,10.73,47.09,1.85,11.4,0.0110357
47.09,1.85,11.4,47.76,1.85,11.4,0.0110357
47.09,0,10.73,47.09,1.85,10.73,0.0764774
47.09,10,2,47.09,10,10.73,0.0764774
47.09,10,10.73,47.09,1.85,10.73,0.0764774
47.09,-10,8,47.09,-10,10.73,0.0764774
47.09,-10,10.73,47.09,0,10.73,0.0764774
group
70.9,-5.82,8.3,70.9,-5.82,18.5,0.0247382
70.9,-5.82,18.5,72,-5.82,18.5,0.0247382
70.9,-5.82,8.3,70.9,-5.82,22,0.0214416
70.9,-5.82,22,72,-5.82,22,0.0214416
70.9,5.82,8.3,70.9,5.82,18.5,0.0247382
70.9,5.82,18.5,72,5.82,18.5,0.0247382
70.9,-5.82,8.3,70.9,5.82,8.3,0.0933152
70.9,5.82,8.3,70.9,5.82,22,0.0214416
70.9,5.82,22,72,5.82,22,0.0214416
70.9,6,8.3,48.2,6,8.3,0.035589
70.9,5.82,8.3,70.9,6,8.3,0.0933152
70.9,6,8.3,70.9,6,2.85,0.0727853
70.9,10,2,70.9,10,8.3,0.0933152
70.9,10,8.3,70.9,6,8.3,0.0933152
70.9,-10,8,70.9,-10,8.3,0.0933152
70.9,-10,8.3,70.9,-5.82,8.3,0.0933152
group
64,10,2,64,10,2.85,0.0727853
64,10,2.85,64,-6,2.85,0.0727853
64,-10,8,64,-10,2.85,0.0727853
64,-10,2.85,64,-6,2.85,0.0727853
group
46.6,-6,8.3,48.2,-6,8.3,0.035589
46.6,1.5,8.3,46.6,1.5,7.62,0.0359719
46.6,-6,8.3,46.6,1.5,8.3,0.0638975
46.6,8.5,8.3,46.6,8.5,9.25,0.039017
